Course,Term_Offered,Campus
ARTS3883,Term 1 2019,"Main Campus, Kensington"
ARTS3900,Term 1 2019,"Main Campus, Kensington"
ARTS3991,Term 1 2019,"Main Campus, Kensington"
ARTS4100,Term 1 2019,"Main Campus, Kensington"
ARTS4202,Term 1 2019,"Main Campus, Kensington"
ARTS4247,Term 1 2019,"Main Campus, Kensington"
ARTS4248,Term 1 2019,"Main Campus, Kensington"
ARTS4266,Term 1 2019,"Main Campus, Kensington"
ARTS4268,Term 1 2019,"Main Campus, Kensington"
ARTS4600,Term 1 2019,"Main Campus, Kensington"
ARTS4601,Term 1 2019,"Main Campus, Kensington"
ARTS4602,Term 1 2019,"Main Campus, Kensington"
ARTS4603,Term 1 2019,"Main Campus, Kensington"
ARTS4604,Term 1 2019,"Main Campus, Kensington"
ARTS4605,Term 1 2019,"Main Campus, Kensington"
ARTS4606,Term 1 2019,"Main Campus, Kensington"
ARTS4607,Term 1 2019,"Main Campus, Kensington"
ARTS4608,Term 1 2019,"Main Campus, Kensington"
ARTS4609,Term 1 2019,"Main Campus, Kensington"
ARTS4610,Term 1 2019,"Main Campus, Kensington"
ARTS4611,Term 1 2019,"Main Campus, Kensington"
ARTS4612,Term 1 2019,"Main Campus, Kensington"
ARTS4613,Term 1 2019,"Main Campus, Kensington"
ARTS4614,Term 1 2019,"Main Campus, Kensington"
ARTS4615,Term 1 2019,"Main Campus, Kensington"
ARTS4616,Term 1 2019,"Main Campus, Kensington"
ARTS4617,Term 1 2019,"Main Campus, Kensington"
ARTS4618,Term 1 2019,"Main Campus, Kensington"
ARTS4619,Term 1 2019,"Main Campus, Kensington"
ARTS4620,Term 1 2019,"Main Campus, Kensington"
ARTS4621,Term 1 2019,"Main Campus, Kensington"
ARTS4622,Term 1 2019,"Main Campus, Kensington"
ARTS4623,Term 1 2019,"Main Campus, Kensington"
ARTS4700,Term 1 2019,"Main Campus, Kensington"
ARTS4701,Term 1 2019,"Main Campus, Kensington"
ARTS4702,Term 1 2019,"Main Campus, Kensington"
ARTS4703,Term 1 2019,"Main Campus, Kensington"
ARTS4704,Term 1 2019,"Main Campus, Kensington"
ARTS4705,Term 1 2019,"Main Campus, Kensington"
ARTS4706,Term 1 2019,"Main Campus, Kensington"
ARTS4707,Term 1 2019,"Main Campus, Kensington"
ARTS4712,Term 1 2019,"Main Campus, Kensington"
ARTS4713,Term 1 2019,"Main Campus, Kensington"
ARTS4714,Term 1 2019,"Main Campus, Kensington"
ARTS4715,Term 1 2019,"Main Campus, Kensington"
ARTS4810,Term 1 2019,"Main Campus, Kensington"
ARTS4811,Term 1 2019,"Main Campus, Kensington"
ARTS4812,Term 1 2019,"Main Campus, Kensington"
ARTS4813,Term 1 2019,"Main Campus, Kensington"
ARTS4814,Term 1 2019,"Main Campus, Kensington"
ARTS4815,Term 1 2019,"Main Campus, Kensington"
ARTS4816,Term 1 2019,"Main Campus, Kensington"
ARTS4817,Term 1 2019,"Main Campus, Kensington"
ARTS4818,Term 1 2019,"Main Campus, Kensington"
ARTS4819,Term 1 2019,"Main Campus, Kensington"
ARTS4820,Term 1 2019,"Main Campus, Kensington"
ARTS4821,Term 1 2019,"Main Campus, Kensington"
